,province,date
408,Daejeon_Rdate,15
409,Daejeon_Rdate,16
410,Daejeon_Rdate,16
411,Daejeon_Rdate,16
412,Daejeon_Rdate,25
413,Daejeon_Rdate,12
414,Daejeon_Rdate,30
415,Daejeon_Rdate,12
416,Daejeon_Rdate,30
417,Daejeon_Rdate,41
418,Daejeon_Rdate,8
419,Daejeon_Rdate,36
420,Daejeon_Rdate,22
421,Daejeon_Rdate,25
422,Daejeon_Rdate,17
423,Daejeon_Rdate,16
424,Daejeon_Rdate,14
425,Daejeon_Rdate,32
426,Daejeon_Rdate,35
427,Daejeon_Rdate,18
428,Daejeon_Rdate,38
429,Daejeon_Rdate,12
430,Daejeon_Rdate,31
431,Daejeon_Rdate,31
432,Daejeon_Rdate,8
433,Daejeon_Rdate,18
434,Gangwon-do_Rdate,8
435,Gangwon-do_Rdate,13
436,Gangwon-do_Rdate,8
437,Gangwon-do_Rdate,8
438,Gangwon-do_Rdate,25
439,Gangwon-do_Rdate,11
440,Gangwon-do_Rdate,11
441,Gangwon-do_Rdate,11
442,Gangwon-do_Rdate,11
443,Gangwon-do_Rdate,18
444,Gangwon-do_Rdate,25
445,Gangwon-do_Rdate,19
446,Gangwon-do_Rdate,8
447,Gangwon-do_Rdate,18
448,Gangwon-do_Rdate,23
449,Gangwon-do_Rdate,24
450,Gangwon-do_Rdate,23
451,Gangwon-do_Rdate,22
452,Gangwon-do_Rdate,25
453,Gangwon-do_Rdate,37
454,Gangwon-do_Rdate,53
455,Gangwon-do_Rdate,27
456,Gangwon-do_Rdate,14
457,Gangwon-do_Rdate,11
458,Gangwon-do_Rdate,19
459,Gangwon-do_Rdate,15
460,Gangwon-do_Rdate,51
461,Gangwon-do_Rdate,19
462,Gwangju_Cdate,1
463,Gwangju_Cdate,7
464,Gwangju_Cdate,6
465,Gwangju_Cdate,7
466,Gwangju_Cdate,1
467,Gwangju_Rdate,11
468,Gwangju_Rdate,17
469,Gwangju_Rdate,17
470,Gwangju_Rdate,8
471,Gwangju_Rdate,8
472,Gwangju_Rdate,13
473,Gwangju_Rdate,11
474,Gwangju_Rdate,27
475,Gwangju_Rdate,24
